Reference,Qty,Value,Footprint,MPN,Manufacturer,LCSC,LC_Stock,Chosen_Distributor,Datasheet,Validated,DNP,Notes
"C1,C2,C14,C15,C16,C17,C24",7,1uF,C_0603_1608Metric,CL10B105KA8NNNC,Samsung,C29936,,,https://product.samsungsem.com/mlcc/CL10B105KA8NNN.do,,,"Exact 1uF 25V X7R 0603 local bypass capacitor.,TLV75533 input local 1uF X7R; place at U3 IN/GND.,TLV75533 output local 1uF X7R; place at U3 OUT/GND."
C25,1,22uF,C_0805_2012Metric,CL21A226MAQNNNE,Samsung,C45783,,,https://product.samsungsem.com/mlcc/CL21A226MPCLRN.do,,,Exact 22uF 25V X5R 0805 source-mux reservoir capacitor.
"C3,C4,C5,C8,C10,C11,C12,C13,C18,C20,C22,C52,C54,C60,C61,C62,C63,C63V31,C64,C65V1,C65VSB1,C73V31,C75V1,C75VSB1,C612V1,C712V1",26,100nF,C_0402_1005Metric,CL05B104KO5NNNC,Samsung,C1525,,,https://product.samsungsem.com/mlcc/CL05B104KO5NNN.do,,,"TPS2121 U5 IN2 / U6 OUT local 100nF bypass on 5VSB_MUX.,TPS2121 U6 IN1 local 100nF bypass.,U6 IN2 (VBUS) bypass.,margin: -12V rail reservoir at J3 pin 14 entry (ceramic non-polar; source >=25V rating),margin: TPS2121 IN1 (+5V_MAIN) input bypass at U5 pin 7 (ds 10.1)"
C50,1,2u2,C_0603_1608Metric,CL10A225KO8NNNC,Samsung,C23630,,,,,,
C51,1,2.2uF,C_0603_1608Metric,CL10A225KO8NNNC,Samsung,C23630,,,,,,"U6 soft-start cap (~10ms output ramp, hub-proven value)."
"C6,C7,C9,C19,C21,C23,C53,C55",8,10uF,C_0805_2012Metric,CL21A106KAYNNNE,Samsung,C15850,,,https://product.samsungsem.com/mlcc/CL21A106KAYNNN.do,,,"TPS2121 U5 IN2 / U6 OUT local 10uF bulk on 5VSB_MUX.,TPS2121 U6 IN1 local 10uF bulk.,U6 IN2 (VBUS) bulk (additional to the existing C9 on the same node).,margin: -12V rail reservoir at J3 pin 14 entry (ceramic non-polar; source >=25V rating),margin: TPS2121 IN1 input bulk at U5 pin 7"
"D1,D3,D4,D7",4,PESD5V0S1BA,D_SOD-323,PESD5V0S1BA,HXY MOSFET,C5261083,,,https://www.lcsc.com/datasheet/C5261083.pdf,,,"H3 VBUS-side clamp (owner ruling H3): reuses the platform's existing low-cap single-line 5V0 ESD/TVS part (same as the DETECT-pin diodes) rather than introducing a new MPN.,PS_ON# ESD clamp,PWR_OK ESD clamp (owner 2026-07-14: clamp both signal taps; DETECT-pin posture)"
D5,1,BAT54S,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-TL,BAT54S,UMW,C545549,,,,,,dual clamp on the ADC pin: series pair A1(p1)=GND -> mid(p3)=node = LOW clamp at -0.3V; mid -> K2(p2)=+3V3 = high clamp. VERIFY p1/p3/p2 = A1/mid/K2 against the C545549 land at first article (symbol pin-name text is sloppy; drawing verified).
D_USB1,1,USBLC6-2SC6,SOT-23-6,USBLC6-2SC6,STMicroelectronics,C7519,,,,,,"H3 standalone-mode suite (beta splice 2026-07-03): USB D+/D- ESD array, hub-parity wiring (D6 on hub-standard) -- modules previously lacked it."
F1,1,750mA/16V PTC,R_1206_3216Metric,1206L075/16WR,Littelfuse,C371166,,,,,,"750mA hold/1.5A trip/16V resettable PTC polyfuse, VBUS ingress defense layer 2 (spec v1.6.0 Sec 6.14). Order: J5 -> D3(PESD) -> F1 -> FB1 -> U6.IN2."
