"Comment","Designator","Footprint","LCSC Part #"
"1uF","C1,C2","cec-Capacitor_SMD:C_0603_1608Metric","C15849"
"100nF","C3,C4,C5,C8,C10,C11,C20,C21,C30,C31,C40,C43","cec-Capacitor_SMD:C_0402_1005Metric","C1525"
"100nF","C41","cec-Capacitor_SMD:C_0402_1005Metric",""
"2.2uF","C42","cec-Capacitor_SMD:C_0603_1608Metric","C23630"
"10uF","C6,C7,C9,C44","cec-Capacitor_SMD:C_0805_2012Metric","C15850"
"PESD5V0S1BA","D1","cec-Diode_SMD:D_SOD-323","C5261083"
"USBLC6-2SC6","D3","cec-Package_TO_SOT_SMD:SOT-23-6","C2687116"
"750mA/16V PTC","F1","cec-Resistor_SMD:R_1206_3216Metric","C371166"
"600R@100MHz FB (MPZ2012S601AT000)","FB1","cec-Capacitor_SMD:C_0805_2012Metric","C21519"
"0R (FB position, populate on EMC evidence)","FB2","cec-Capacitor_SMD:C_0805_2012Metric","C17477"
"TO-HUB","J1","cec:RJ45_FTP_Shielded_Horizontal","C2683360"
"USB-C 2.0","J5","cec-Connector_USB:USB_C_Receptacle_XKB_U262-16XN-4BVC11","C319148"
"C1 PSU","J_IN1","cec-Connector_Molex:Molex_Mini-Fit_Jr_87427-0802_2x04_P4.20mm_RA",""
"C2 PSU","J_IN2","cec-Connector_Molex:Molex_Mini-Fit_Jr_87427-0802_2x04_P4.20mm_RA",""
"2.2kΩ","R1,R3,R4","cec-Resistor_SMD:R_0402_1005Metric","C25879"
"0Ω","R11,R12","cec-Resistor_SMD:R_0402_1005Metric","C17168"
"10kΩ","R13","cec-Resistor_SMD:R_0402_1005Metric",""
"47kΩ","R15","cec-Resistor_SMD:R_0402_1005Metric","C25792"
"33kΩ","R18","cec-Resistor_SMD:R_0402_1005Metric","C25779"
"10kΩ","R2,R10,R16","cec-Resistor_SMD:R_0402_1005Metric","C25744"
"100kΩ","R7,R14,R17","cec-Resistor_SMD:R_0402_1005Metric","C25741"
"5.1kΩ","R8,R9","cec-Resistor_SMD:R_0402_1005Metric","C25905"
"0.5mΩ","RS1,RS2","cec-Resistor_SMD:R_2512_6332Metric",""
"BOOT","SW1","cec-Button_Switch_SMD:TS-1088-AR02016","C720477"
"RESET","SW2","cec-Button_Switch_SMD:TS-1088-AR02016","C720477"
"TE 63969-1","TB11,TB12,TB13,TB14,TB15,TB16,TB21,TB22,TB23,TB24,TB25,TB26","cec-Connector_Blade:TE_63969_FASTON_Receptacle_250_Vertical_THT","C2961150"
"ESP32-C6-MINI-1-N4","U1","cec-RF_Module:ESP32-C6-MINI-1","C5736265"
"INA238","U10,U11","cec-Package_SO:VSSOP-10_3x3mm_P0.5mm","C2868250"
"TJA1051T/3","U2","cec-Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C38695"
"INA181A2IDBVR","U20,U21","cec-Package_TO_SOT_SMD:SOT-23-6","C2058784"
"LP5907MFX-3.3","U3","cec-Package_TO_SOT_SMD:SOT-23-5","C80670"
"TLV7011DBVR","U30,U31","cec-Package_TO_SOT_SMD:SOT-23-5","C702117"
"TPS2121RUXR","U4","cec-Package_DFN_QFN:RUX0012A","C485916"
