Reference,Qty,Value,Footprint,MPN,Manufacturer,LCSC,LC_Stock,Chosen_Distributor,Datasheet,Validated,DNP,Notes
C1,1,4700uF,CP_Elec_16x17.5,VKMI2101C472MV,Ymin,C487318,,,https://www.lcsc.com/product-detail/C487318.html,,,"Hold-up reservoir, 4700uF +/-20%, 16V, 10000h at 105C, SMD D16xL21mm. Exact C487318 listing is Ymin (not Samxon); minimum capacitance 3760uF is used by the shutdown-energy audit."
C12,1,10nF,C_0402_1005Metric,CL05B103KB5NNNC,Samsung,C15195,,,https://product.samsungsem.com/mlcc/CL05B103KB5NNN.do,,,
"C2,C3,C11,C23",4,10uF,C_0603_1608Metric,CL10A106MA8NRNC,Samsung,C96446,,,https://product.samsungsem.com/mlcc/CL10A106MA8NRN.do,,,U11 IN2 (KVM 5V) bulk -- the hub's own 0603 10uF line.
"C4,C5,C6,C8,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C29,C30,C31,C32,C33,C34",20,100nF,C_0402_1005Metric,CL05B104KO5NNNC,Samsung,C1525,,,https://product.samsungsem.com/mlcc/CL05B104KO5NNN.do,,,"DETECT immunity filter (owner VRM-coupling concern 2026-07-15): 100n on the 10k-source analog identity line; ~1ms settle, irrelevant to detection; kills near-field pickup.,Dedicated 100nF local bypass for DL2; place directly at VDD/VSS.,Dedicated 100nF local bypass for DL3; place directly at VDD/VSS.,Dedicated 100nF local bypass for DL4; place directly at VDD/VSS.,Dedicated 100nF local bypass for DL5; place directly at VDD/VSS.,Dedicated 100nF local bypass for DL7; place directly at VDD/VSS.,SN74AHCT1G08 U6 local 100nF bypass; place directly at VCC/GND.,U11 IN2 (KVM 5V) bypass."
C7,1,4n7,C_0402_1005Metric,0402B472K500NT,Fenghua,C1538,,,,,,
"C10,C25,C26,C27,C28",5,1uF,C_0603_1608Metric,CL10A105KB8NNNC,Samsung,C15849,,,https://product.samsungsem.com/mlcc/CL10A105KB8NNN.do,,,"U11 USB_VBUS input and output local bypass; U7 +5V_SYS primary input and PSU_5V_KVM backup input local bypass. Dedicated low-ESR X5R ceramics; place directly at the TPS2121 pins."
"C_SS2,C_SS3",2,2.2uF,C_0603_1608Metric,CL10A225KO8NNNC,Samsung,C23630,,,,,,"U11 and U7 soft-start capacitors (hub-proven ~10ms ramp)."
C_bulk1,1,470uF,CP_Elec_6.3x7.7,RVT1A471M0607,Lelon,C335982,,,,,,Bulk surge cap on Hub +5VSB distribution
D1,1,SS14,D_SMA,SS14,MDD (Microdiode Semiconductor),C2480,,,https://www.lcsc.com/datasheet/C2480.pdf,,,"MDD SS14 40V 1A Schottky hold-up isolation diode; cathode pin 1 to +5V_HOLD, anode pin 2 to the selected +5VSB source. Maximum specified VF is 0.55V at 1A."
"D2,D3,D4,D5,D7",5,PESD5V0S1BA,D_SOD-323,PESD5V0S1BA,HXY MOSFET,C5261083,,,https://www.lcsc.com/datasheet/C5261083.pdf,,,"Low-cap DETECT ESD diode (pin8 hot-plug, spec 2.4 v2.0)"
D6,1,USBLC6-2SC6,SOT-23-6,USBLC6-2SC6,UMW,C2687116,,,https://datasheet.lcsc.com/lcsc/2206231215_UMW-Youtai-Semiconductor-Co---Ltd--USBLC6-2SC6_C2687116.pdf,,,
D8,1,SMAJ5.0A,D_SMA,SMAJ5.0A,MDD (Microdiode Semiconductor),C113952,,,https://www.lcsc.com/datasheet/C113952.pdf,,,"Stack-power TVS at J6P +5V_SYS; 5V working, clamps line transients at the board-to-board entry."
"DL1,DL2,DL3,DL4,DL5,DL7",6,SK6812MINI-E,LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,SK6812MINI-E,OPSCO Optoelectronics,C5149201,,,https://datasheet.lcsc.com/lcsc/1810231311_OPSCO-Optoelectronics-SK6812MINI-E_C5149201.pdf,,,
"F1,F2,F3,F4",4,PTC 500mA,R_0805_2012Metric,SMD0805-050-6,generic (JLC catalog),C46640983,,,,,,"Per-port RJ45-VCC polyfuse (owner ruling 2026-07-15): fault isolation -- a shorted patch cable or failed module trips ONE port instead of browning out the shared 5VSB system (the TPS2121 limit is total, not per-port). 0805 PTC, 500mA hold, 6V rated. ~150mV drop at load absorbed by module LDO headroom."
F5,1,1.1A/16V PTC,R_1206_3216Metric,FSMD110-16-1206R,FUZETEC,C5707763,,,,,,"1.1A hold/2.2A trip/16V resettable PTC polyfuse, KVM 5V ingress defense layer 2 (spec Sec 2.9 v1.6.0). F1-F4 are the 2026-07-15 per-port 500mA PTCs -- unrelated position."
J2,1,PORT1,RJ45_FTP_Shielded_Horizontal,KH-RJ45-58-8P8C,Kinghelm,C2683360,,,https://www.lcsc.com/datasheet/C2683360.pdf,,,
J3,1,PORT2,RJ45_FTP_Shielded_Horizontal,KH-RJ45-58-8P8C,Kinghelm,C2683360,,,https://www.lcsc.com/datasheet/C2683360.pdf,,,
J4,1,PORT3,RJ45_FTP_Shielded_Horizontal,KH-RJ45-58-8P8C,Kinghelm,C2683360,,,https://www.lcsc.com/datasheet/C2683360.pdf,,,
J5,1,PORT4,RJ45_FTP_Shielded_Horizontal,KH-RJ45-58-8P8C,Kinghelm,C2683360,,,https://www.lcsc.com/datasheet/C2683360.pdf,,,
J6C?,1,TO-24PIN-STACK-COMMS,PinSocket_2x04_P2.54mm_Vertical,SSQ-104-03-G-D,Samtec,,,,https://suddendocs.samtec.com/catalog_english/ssw_th.pdf,,,Exact 2x4 Hub socket; mates ATX TSW-104-17-G-D in the 18mm dead-bug stack. STREAM_P/N are intentionally NC on both Standard boards.
J6D?,1,TO-24PIN-STACK-ID,PinSocket_2x02_P2.54mm_Vertical,SSQ-102-03-G-D,Samtec,,,,https://suddendocs.samtec.com/catalog_english/ssw_th.pdf,,,Exact 2x2 Hub socket; mates ATX TSW-102-17-G-D in the 18mm dead-bug stack. RSVD is intentionally NC.
J6P?,1,TO-24PIN-STACK-PWR,PinSocket_2x03_P2.54mm_Vertical,SSQ-103-03-G-D,Samtec,,,,https://suddendocs.samtec.com/catalog_english/ssw_th.pdf,,,Exact 2x3 Hub socket; mates ATX TSW-103-17-G-D in the 18mm dead-bug stack.
J_KVM?,1,CEC_NANOKVM_AUX_5P,JST_PH_S5B-PH-K-S_1x05_P2.00mm_Horizontal,S5B-PH-K-S(LF)(SN),JST,C157923,,,,,,
J_USB?,1,USB-C,USB_C_Receptacle_XKB_U262-16XN-4BVC11,U262-161N-4BVC11,XKB Connection,C319148,,,https://datasheet.lcsc.com/szlcsc/1811141824_XKB-Enterprise-U262-161N-4BVC11_C319148.pdf,,,
L1,1,2.2uH,VLS252010HBX-2R2M-1,VLS252010HBX-2R2M-1,TDK,C88527,,,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=VLS252010HBX-2R2M-1,,,"2.2uH shielded buck inductor, 2.3A Isat max / 1.76A thermal-rated"
"R12,R15,R21,R23",4,47kΩ,R_0402_1005Metric,0402WGF4702TCE,UNI-ROYAL,C25792,,,,,,
"R35,R37",2,43.2kΩ,R_0402_1005Metric,0402WGF4322TCE,UNI-ROYAL,C25894,,,https://www.lcsc.com/product-detail/C25894.html,,,"U11/U7 OV1 divider tops; 43.2k/10k gives 5.639V nominal and 5.287..5.948V static extremes; dynamic margin remains a qualification gate."
"R13,R_ILIM2,R_ILIM3",3,27kΩ,R_0402_1005Metric,0402WGF2702TCE,UNI-ROYAL,C25771,,,,,,"U11 and U7 ILIM straps (~3.8A); F5's 1.1A hold rating remains the tighter NanoKVM-source protection."
R14,1,330Ω,R_0402_1005Metric,0402WGF3300TCE,UNI-ROYAL,C25104,,,,,,
"R19,R20",2,33Ω,R_0402_1005Metric,0402WGF330JTCE,UNI-ROYAL,C25105,,,,,,
"R2,R5,R6,R7,R8,R11,R16,R22,R24,R25,R36,R38",12,10kΩ,R_0402_1005Metric,0402WGF1002TCE,UNI-ROYAL,C25744,,,,,,"Includes U11 and U7 OV1-divider bottom legs; paired with 43.2k top legs for 5.639V nominal cutoff."
