"Comment","Designator","Footprint","LCSC Part #"
"LM339DR","U1,U2,U3,U4","SOIC-14","C7948"
"TLV431AIDBZR","VR1","SOT-23","C56765"
"100nF X7R","C_U1..C_U4,C_VR1","C_0603","C1525"
"301k 1%","R_DIV strings","R_1206","C873534"
"1k","R_LED1..24","R_0603","C21190"
"5.1k","R_CC1,R_CC2","R_0603","C23186"
"470k","neon chain Rs","R_2010","C2960931"
"PESD5V0S1BA","D_PS,D_PG,D_USB","SOD-323","C5261083"
"SS34","D_H1,D_H2,D_H3","SMA","C8678"
"SMAZ5V6-13-F","Z_ST","SMA","C110526"
"SS8050","Q_BST","SOT-23","C2150"
"M7","D_BST","SMA","C95872"
"USB-C 16P","J_PWR","USB_C_16P","C2765186"
