designator,name,category,row_idx,col,ring,quad
A10,GPIO177PB1/CCC_SW_PLL0_OUT0,GPIO_BANK1,0,10,0,NW
A11,GPIO177NB1,GPIO_BANK1,0,11,0,NW
A12,GPIO1NB1,GPIO_BANK1,0,12,0,NE
A13,GPIO1PB1/CLKIN_S_5,GPIO_BANK1,0,13,0,NE
A15,GPIO5PB1/CLKIN_S_7,GPIO_BANK1,0,15,0,NE
A16,GPIO13PB1,GPIO_BANK1,0,16,0,NE
A17,GPIO13NB1,GPIO_BANK1,0,17,0,NE
A18,GPIO17PB1/CCC_SE_CLKIN_S_11,GPIO_BANK1,0,18,0,NE
A20,GPIO20PB9/DQS,GPIO_BANK1,0,20,0,NE
A21,GPIO20NB9/DQS,GPIO_BANK1,0,21,0,NE
A5,GPIO172NB1,GPIO_BANK1,0,5,0,NW
A6,GPIO172PB1/CCC_SW_PLL1_OUT1,GPIO_BANK1,0,6,0,NW
A7,GPIO173PB1/CLKIN_S_3/CCC_SW_CLKIN_S_3,GPIO_BANK1,0,7,0,NW
A8,GPIO175PB1,GPIO_BANK1,0,8,0,NW
B10,GPIO179PB1,GPIO_BANK1,1,10,1,NW
B12,GPIO0PB1/CLKIN_S_4,GPIO_BANK1,1,12,1,NE
B13,GPIO3PB1/CLKIN_S_6,GPIO_BANK1,1,13,1,NE
B14,GPIO3NB1,GPIO_BANK1,1,14,1,NE
B15,GPIO5NB1,GPIO_BANK1,1,15,1,NE
B17,GPIO15PB1/CCC_SE_CLKIN_S_10/CCC_SE_PLL1_OUT0,GPIO_BANK1,1,17,1,NE
B18,GPIO17NB1,GPIO_BANK1,1,18,1,NE
B19,GPIO19NB9,GPIO_BANK1,1,19,1,NE
B20,GPIO19PB9,GPIO_BANK1,1,20,1,NE
B21,GPIO22PB9,GPIO_BANK1,1,21,1,NE
B22,GPIO22NB9,GPIO_BANK1,1,22,0,NE
B4,GPIO169NB1,GPIO_BANK1,1,4,1,NW
B5,GPIO170NB1/DQS,GPIO_BANK1,1,5,1,NW
B7,GPIO173NB1,GPIO_BANK1,1,7,1,NW
B8,GPIO175NB1,GPIO_BANK1,1,8,1,NW
B9,GPIO179NB1,GPIO_BANK1,1,9,1,NW
C10,GPIO176PB1/DQS/CCC_SW_PLL0_OUT0,GPIO_BANK1,2,10,2,NW
C11,GPIO178PB1/CCC_SW_PLL0_OUT1,GPIO_BANK1,2,11,2,NW
C12,GPIO0NB1,GPIO_BANK1,2,12,2,NE
C14,GPIO4PB1/LPRB_A,GPIO_BANK1,2,14,2,NE
C15,GPIO4NB1/LPRB_B,GPIO_BANK1,2,15,2,NE
C16,GPIO12PB1,GPIO_BANK1,2,16,2,NE
C17,GPIO15NB1,GPIO_BANK1,2,17,2,NE
C19,GPIO18PB9,GPIO_BANK1,2,19,2,NE
C20,GPIO18NB9,GPIO_BANK1,2,20,2,NE
C22,GPIO23PB9,GPIO_BANK1,2,22,0,NE
C4,GPIO169PB1/CCC_SW_CLKIN_S_1,GPIO_BANK1,2,4,2,NW
C5,GPIO170PB1/DQS/CCC_SW_PLL1_OUT0,GPIO_BANK1,2,5,2,NW
