Designator,Mid X,Mid Y,Layer,Rotation
C1,154.750000,-102.000000,Top,90.000000
C2,160.500000,-102.000000,Top,90.000000
C3,151.250000,-85.250000,Top,90.000000
C4,159.750000,-108.500000,Top,0.000000
C5,169.500000,-84.500000,Top,90.000000
C6,153.500000,-128.750000,Top,180.000000
C7,151.750000,-88.000000,Top,-90.000000
C8,157.000000,-117.000000,Top,180.000000
C9,162.250000,-65.750000,Top,90.000000
C10,117.500000,-92.500000,Top,90.000000
C11,123.500000,-92.500000,Top,90.000000
C12,129.500000,-92.500000,Top,90.000000
C13,135.500000,-92.500000,Top,90.000000
C14,141.500000,-92.500000,Top,90.000000
C15,147.500000,-92.500000,Top,90.000000
C20,156.250000,-100.000000,Top,-90.000000
C21,157.250000,-100.020000,Top,-90.000000
C22,152.500000,-104.750000,Top,0.000000
C23,152.250000,-107.250000,Top,-90.000000
C24,152.250000,-94.500000,Top,-90.000000
CF1,115.500000,-91.950000,Top,-90.000000
CF2,121.000000,-92.000000,Top,-90.000000
CF3,127.500000,-92.000000,Top,-90.000000
CF4,133.500000,-91.950000,Top,-90.000000
CF5,139.500000,-91.950000,Top,-90.000000
CF6,145.500000,-92.000000,Top,-90.000000
D1,153.500000,-121.250000,Top,180.000000
D2,157.000000,-66.750000,Top,0.000000
J1,159.650000,-130.282500,Top,90.000000
J3,129.160401,-61.000000,Top,180.000000
J4,135.339599,-133.500000,Top,0.000000
J5,168.425000,-72.350000,Top,90.000000
R1,150.750000,-101.750000,Top,180.000000
R2,169.500000,-86.500000,Top,90.000000
R5,151.250000,-94.500000,Top,90.000000
R6,151.500000,-92.250000,Top,90.000000
R7,152.000000,-100.250000,Top,90.000000
R8,161.500000,-73.750000,Top,180.000000
R9,161.500000,-70.750000,Top,180.000000
R10,150.875000,-71.350000,Top,0.000000
R11,150.875000,-74.350000,Top,0.000000
R12,150.875000,-77.350000,Top,0.000000
R13,150.875000,-80.350000,Top,0.000000
R20,132.750000,-72.750000,Top,90.000000
R21,117.250000,-123.000000,Top,90.000000
RFH1,115.275000,-88.350000,Top,-90.000000
RFH2,121.275000,-88.350000,Top,-90.000000
RFH3,127.275000,-88.350000,Top,-90.000000
RFH4,133.275000,-88.350000,Top,-90.000000
RFH5,139.275000,-88.350000,Top,-90.000000
RFH6,145.275000,-88.350000,Top,-90.000000
RFL1,118.475000,-88.350000,Top,-90.000000
RFL2,124.475000,-88.350000,Top,-90.000000
RFL3,130.475000,-88.350000,Top,-90.000000
RFL4,136.475000,-88.350000,Top,-90.000000
RFL5,142.475000,-88.350000,Top,-90.000000
RFL6,148.475000,-88.350000,Top,-90.000000
RS1,116.875000,-80.350000,Top,-90.000000
RS2,122.875000,-80.350000,Top,-90.000000
RS3,128.875000,-80.350000,Top,-90.000000
RS4,134.875000,-80.350000,Top,-90.000000
RS5,140.875000,-80.350000,Top,-90.000000
RS6,146.875000,-80.350000,Top,-90.000000
SW1,168.500000,-103.500000,Top,-90.000000
SW2,168.500000,-111.500000,Top,-90.000000
TH1,132.000000,-74.500000,Top,0.000000
TH2,116.680000,-124.750000,Top,0.000000
U1,160.875000,-88.350000,Top,0.000000
U2,159.750000,-112.750000,Top,-90.000000
U3,157.637500,-103.950000,Top,0.000000
U4,149.382650,-105.750000,Top,90.000000
U10,116.875000,-97.350000,Top,90.000000
U11,122.875000,-97.350000,Top,90.000000
U12,128.875000,-97.350000,Top,90.000000
U13,134.875000,-97.350000,Top,90.000000
U14,140.875000,-97.350000,Top,90.000000
U15,146.875000,-97.350000,Top,90.000000
