Designator,Mid X,Mid Y,Layer,Rotation
C1,156.000000,-133.750000,Top,90.000000
C2,136.500000,-134.000000,Top,90.000000
C3,143.000000,-134.275000,Top,90.000000
C4,73.500000,-138.500000,Top,180.000000
C5,105.500000,-119.000000,Top,-90.000000
C6,83.000000,-146.500000,Top,180.000000
C7,104.000000,-107.000000,Top,180.000000
C8,116.500000,-147.080000,Top,90.000000
C9,155.500000,-118.000000,Top,-90.000000
C10,153.000000,-118.000000,Top,-90.000000
C11,75.000000,-140.000000,Top,0.000000
C12,86.000000,-139.520000,Top,-90.000000
C13,111.000000,-113.500000,Top,0.000000
C14,106.500000,-121.500000,Top,0.000000
C15,144.250000,-120.000000,Top,180.000000
C16,135.500000,-122.250000,Top,0.000000
C_SS1,154.500000,-110.500000,Top,-90.000000
C_SS2,149.000000,-122.000000,Top,0.000000
C_bulk1,146.500000,-113.500000,Top,0.000000
D1,138.750000,-126.250000,Top,90.000000
D2,87.000000,-110.000000,Top,-90.000000
D3,111.000000,-110.000000,Top,-90.000000
D4,124.000000,-110.000000,Top,-90.000000
D5,140.000000,-110.000000,Top,-90.000000
D6,100.550000,-149.137500,Top,-90.000000
D7,133.000000,-155.250000,Top,90.000000
DL1,119.000000,-119.400000,Top,0.000000
DL2,126.500000,-125.500000,Top,0.000000
DL3,129.000000,-135.500000,Top,0.000000
DL4,119.000000,-137.500000,Top,0.000000
DL5,109.000000,-135.500000,Top,0.000000
DL6,112.500000,-158.500000,Top,0.000000
DL7,112.000000,-125.500000,Top,0.000000
J2,95.782500,-101.600000,Top,180.000000
J3,114.282500,-101.600000,Top,180.000000
J4,132.782500,-101.600000,Top,180.000000
J5,150.782500,-101.600000,Top,180.000000
J_5V,163.555000,-150.250000,Top,90.000000
J_5VSB,163.555000,-115.250000,Top,90.000000
J_KVM,129.000000,-158.550000,Top,180.000000
J_USB,100.000000,-161.000000,Top,0.000000
R2,76.000000,-141.500000,Top,180.000000
R3,104.500000,-108.500000,Top,90.000000
R4,105.500000,-108.500000,Top,-90.000000
R5,85.000000,-109.000000,Top,0.000000
R6,113.000000,-109.000000,Top,180.000000
R7,122.000000,-109.000000,Top,0.000000
R8,138.000000,-109.000000,Top,0.000000
R9,99.000000,-153.500000,Top,90.000000
R10,101.500000,-153.500000,Top,90.000000
R11,88.000000,-116.500000,Top,0.000000
R12,93.000000,-141.000000,Top,180.000000
R13,90.500000,-141.000000,Top,180.000000
R14,106.500000,-124.000000,Top,0.000000
R15,164.500000,-144.000000,Top,180.000000
R16,162.500000,-144.000000,Top,180.000000
R17,157.500000,-114.250000,Top,0.000000
R18,159.500000,-114.250000,Top,0.000000
R19,93.990000,-130.000000,Top,0.000000
R20,94.000000,-128.750000,Top,0.000000
R21,130.510000,-153.500000,Top,180.000000
R22,128.500000,-153.500000,Top,180.000000
R23,123.500000,-153.500000,Top,0.000000
R24,125.500000,-153.500000,Top,0.000000
R25,135.000000,-123.750000,Top,-90.000000
R_ILIM1,157.500000,-112.500000,Top,0.000000
R_ILIM2,146.750000,-122.500000,Top,-90.000000
SW_BOOT,120.500000,-150.600000,Top,180.000000
SW_RESET,112.750000,-150.500000,Top,180.000000
TH1,133.320000,-122.250000,Top,0.000000
U1,78.000000,-128.000000,Top,90.000000
U2,105.000000,-113.500000,Top,90.000000
U3,139.500000,-136.500000,Top,0.000000
U4,75.550000,-145.437500,Top,-90.000000
U5,154.750000,-114.649998,Top,0.000000
U6,103.000000,-123.000000,Top,0.000000
U7,147.750000,-119.500000,Top,180.000000
