# cec_bench v1.0+1238b3f  2026-06-13T14:51:21
===BURST_CSV_BEGIN===
# fastburst: 2048 frames @ 100.00 kSPS native (measured), 0 seq-gaps, 0 bad-hdr; us = idx x 10.000 us
us,seq,i3,i4,i5,vrail,vcc,i8
0.0,88,0.8079,0.8375,0.8536,11.9973,4.8282,0.8083
10.0,89,0.8094,0.8345,0.8536,11.9982,4.8288,0.8068
20.0,90,0.8049,0.8329,0.8536,11.9982,4.8282,0.8099
30.0,91,0.8033,0.8314,0.8490,11.9982,4.8288,0.7992
40.0,92,0.7988,0.8253,0.8506,11.9982,4.8288,0.7946
50.0,93,0.7957,0.8238,0.8521,11.9982,4.8288,0.7931
60.0,94,0.7896,0.8253,0.8567,11.9991,4.8291,0.7915
70.0,95,0.7911,0.8238,0.8536,11.9982,4.8291,0.7931
80.0,96,0.7927,0.8238,0.8536,11.9982,4.8297,0.7900
90.0,97,0.7927,0.8283,0.8506,11.9991,4.8294,0.7900
100.0,98,0.7942,0.8283,0.8445,11.9991,4.8300,0.7961
110.0,99,0.7957,0.8253,0.8536,11.9991,4.8297,0.8022
120.0,100,0.7988,0.8329,0.8521,11.9991,4.8294,0.8053
130.0,101,0.7972,0.8375,0.8567,11.9991,4.8297,0.8068
140.0,102,0.7988,0.8421,0.8612,12.0000,4.8297,0.8099
150.0,103,0.8079,0.8451,0.8612,11.9991,4.8294,0.8175
160.0,104,0.8140,0.8451,0.8673,11.9973,4.8294,0.8160
170.0,105,0.8140,0.8451,0.8689,11.9982,4.8297,0.8068
180.0,106,0.8140,0.8421,0.8765,11.9991,4.8297,0.8053
190.0,107,0.8140,0.8345,0.8704,12.0000,4.8297,0.8053
200.0,108,0.8155,0.8329,0.8658,11.9991,4.8297,0.8038
210.0,109,0.8110,0.8314,0.8658,11.9991,4.8300,0.8053
220.0,110,0.8049,0.8314,0.8643,11.9991,4.8300,0.8099
230.0,111,0.8064,0.8329,0.8628,11.9982,4.8300,0.8129
240.0,112,0.8033,0.8360,0.8658,11.9991,4.8300,0.8175
250.0,113,0.8064,0.8390,0.8719,11.9991,4.8300,0.8175
260.0,114,0.8140,0.8436,0.8750,11.9982,4.8303,0.8175
270.0,115,0.8186,0.8421,0.8750,11.9982,4.8303,0.8160
280.0,116,0.8201,0.8375,0.8796,11.9991,4.8303,0.8099
290.0,117,0.8140,0.8467,0.8841,11.9982,4.8306,0.8099
