# cec_bench v1.0+1238b3f  2026-06-13T14:53:24
===BURST_CSV_BEGIN===
# burst: 2048 frames in 130002 us (~15.7 kHz)
us,seq,i3,i4,i5,vrail,vcc,i8
67,120,4.6928,4.8689,5.0238,11.9713,4.8148,4.7146
131,125,4.6379,4.8017,4.9338,11.9713,4.8148,4.6215
194,129,4.4685,4.6369,4.7583,11.9695,4.8160,4.4811
257,134,4.5143,4.6659,4.8148,11.9704,4.8181,4.5147
322,138,4.4395,4.5912,4.7202,11.9695,4.8209,4.4277
385,142,4.3266,4.4859,4.6225,11.9704,4.8230,4.3316
448,147,4.3571,4.5072,4.6439,11.9721,4.8248,4.3590
512,151,4.3693,4.5240,4.6607,11.9713,4.8264,4.3636
575,155,4.3632,4.5286,4.6653,11.9721,4.8273,4.3774
638,160,4.3693,4.5271,4.6546,11.9730,4.8294,4.3697
702,164,4.3373,4.4920,4.6149,11.9730,4.8303,4.3316
765,168,4.4120,4.5820,4.7217,11.9721,4.8303,4.4308
829,173,4.5204,4.6919,4.8346,11.9730,4.8303,4.5345
892,177,4.5341,4.6965,4.8331,11.9730,4.8309,4.5345
955,181,4.4990,4.6598,4.7873,11.9721,4.8309,4.4918
1018,186,4.4777,4.6537,4.7919,11.9730,4.8309,4.4903
1082,190,4.4578,4.6247,4.7492,11.9730,4.8300,4.4628
1145,194,4.3953,4.5469,4.6912,11.9739,4.8294,4.4048
1208,199,4.3388,4.4981,4.6302,11.9747,4.8300,4.3438
1272,203,4.3403,4.4966,4.6363,11.9747,4.8309,4.3377
1335,207,4.3617,4.5286,4.6668,11.9765,4.8318,4.3667
1398,212,4.4929,4.6430,4.7904,11.9739,4.8322,4.4979
1462,216,4.5189,4.6842,4.8331,11.9739,4.8322,4.5147
1525,220,4.4731,4.6308,4.7568,11.9756,4.8322,4.4659
1588,225,2.6847,2.8242,2.7610,11.9817,4.8325,2.5982
1652,229,1.5464,1.6661,1.6425,11.9904,4.8328,1.5453
1715,233,0.8049,0.8741,0.8551,11.9982,4.8328,0.7976
1779,238,0.4814,0.5125,0.5286,12.0052,4.8337,0.5032
1842,242,0.9513,0.9794,1.0489,12.0052,4.8346,0.9838
1905,246,1.1345,1.1808,1.2107,12.0069,4.8343,1.1562
1968,251,3.0891,3.1431,3.3484,11.9991,4.8337,3.1460
2032,255,3.3027,3.3827,3.4995,11.9947,4.8331,3.2909
2095,3,3.4065,3.5215,3.6109,11.9913,4.8328,3.3916
2158,8,4.1999,4.3302,4.5859,11.9878,4.8328,4.2858
2222,12,5.4985,5.6379,5.8524,11.9791,4.8325,5.4851
