# cec_bench v1.0+46074dd  2026-06-13T16:34:06
===BURST_CSV_BEGIN===
# stream: 2048 frames in 126064 us (~16.2 kSPS link), 472 underruns, dropcount 0->0 (0 lost); nominal 25 kSPS
us,drop,i3,i4,i5,vrail,vcc,i8
0.0,0,0.2352,0.2524,0.2530,12.0043,4.8297,0.2378
40.0,0,0.2169,0.2326,0.2331,12.0043,4.8279,0.2195
80.0,0,0.1589,0.1777,0.1828,12.0043,4.8282,0.1676
120.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
160.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
240.0,0,0.1711,0.1929,0.1965,12.0043,4.8306,0.1799
280.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
320.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
400.0,0,0.2138,0.2417,0.2514,12.0026,4.8322,0.2241
440.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
480.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
560.0,0,0.1025,0.1243,0.1187,12.0017,4.8352,0.1097
600.0,0,0.1406,0.1578,0.1584,12.0017,4.8349,0.1463
640.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
680.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
760.0,0,0.1681,0.1929,0.1980,12.0034,4.8318,0.1768
800.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
840.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
920.0,0,0.1986,0.2051,0.2164,12.0078,4.8279,0.1966
960.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
1000.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
1080.0,0,0.2077,0.2219,0.2164,12.0104,4.8209,0.2134
1120.0,0,0.1757,0.1868,0.1874,12.0113,4.8187,0.1783
1160.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
