# cec_bench v1.0+46074dd  2026-06-13T16:37:23
===BURST_CSV_BEGIN===
# burst: 2048 frames in 129737 us (~15.8 kHz)
us,seq,i3,i4,i5,vrail,vcc,i8
66,143,4.2849,4.8667,4.8932,11.9773,4.8352,4.3806
129,147,4.2834,4.8560,4.8779,11.9765,4.8349,4.3699
193,152,4.2406,4.8133,4.8398,11.9765,4.8349,4.3257
256,157,4.2193,4.7919,4.8154,11.9765,4.8358,4.2997
319,161,4.2834,4.8667,4.8901,11.9773,4.8373,4.3730
382,166,4.3200,4.9079,4.9420,11.9756,4.8380,4.4035
445,171,4.2895,4.8911,4.9023,11.9765,4.8392,4.3775
509,175,4.3734,4.9659,4.9954,11.9765,4.8401,4.4630
572,180,4.4039,5.0055,5.0091,11.9765,4.8392,4.4813
635,185,4.3444,4.9323,4.9435,11.9773,4.8380,4.4309
698,189,4.3307,4.9109,4.9344,11.9765,4.8358,4.4096
770,194,4.2925,4.8728,4.8855,11.9782,4.8343,4.3760
834,199,4.2422,4.8102,4.8428,11.9765,4.8340,4.3257
897,203,4.2254,4.7980,4.8382,11.9782,4.8343,4.3150
961,207,4.2773,4.8468,4.8794,11.9773,4.8349,4.3577
1024,212,4.2666,4.8362,4.8566,11.9773,4.8352,4.3455
1087,216,4.2864,4.8652,4.8947,11.9773,4.8352,4.3775
1150,220,4.2757,4.8591,4.8764,11.9773,4.8355,4.3592
1213,225,4.3429,4.9125,4.9481,11.9773,4.8340,4.4294
1277,229,4.3978,4.9735,4.9878,11.9773,4.8309,4.4676
1340,233,3.3297,3.8611,3.7152,11.9817,4.8279,3.3262
1404,238,1.7794,2.1155,2.0459,11.9904,4.8245,1.8247
1467,242,1.0897,1.3068,1.2417,11.9982,4.8227,1.1122
1530,246,0.6655,0.7972,0.7779,12.0043,4.8209,0.7002
1593,251,0.9661,1.0657,1.1304,12.0069,4.8209,1.0130
1657,255,1.1294,1.2671,1.2753,12.0060,4.8224,1.1549
1720,3,2.2128,2.3978,2.5998,12.0017,4.8239,2.3359
1784,8,3.1481,3.4980,3.5290,11.9965,4.8257,3.1675
1847,12,3.3694,3.7894,3.8281,11.9913,4.8276,3.4254
1910,16,3.4274,3.8718,3.9242,11.9886,4.8291,3.5047
1974,21,5.1485,5.7044,5.8621,11.9817,4.8303,5.2565
2037,25,5.3164,5.9913,6.0101,11.9773,4.8309,5.3724
2100,29,4.9532,5.6373,5.6286,11.9756,4.8306,5.0321
2163,34,4.6603,5.3107,5.3143,11.9782,4.8303,4.7529
2227,38,4.4939,5.1032,5.1190,11.9773,4.8294,4.5835
2290,42,4.4711,5.0818,5.0976,11.9765,4.8297,4.5576
2353,47,4.5046,5.1123,5.1297,11.9782,4.8300,4.5988
2417,51,4.4085,5.0071,5.0137,11.9765,4.8297,4.4874
2480,55,4.3917,4.9796,4.9939,11.9773,4.8297,4.4660
2544,60,4.3551,4.9460,4.9542,11.9765,4.8297,4.4355
2607,64,4.3398,4.9170,4.9283,11.9756,4.8288,4.4218
2670,68,4.3352,4.9109,4.9435,11.9765,4.8294,4.4035
2733,73,4.2818,4.8514,4.8810,11.9756,4.8300,4.3714
2797,77,4.2651,4.8377,4.8428,11.9765,4.8318,4.3409
2860,81,4.2406,4.8102,4.8306,11.9756,4.8325,4.3180
2923,86,4.2193,4.8026,4.8260,11.9765,4.8337,4.3089
2987,90,4.2513,4.8133,4.8535,11.9765,4.8346,4.3241
3050,94,4.3124,4.8896,4.9191,11.9756,4.8355,4.3928
3113,99,4.3398,4.9201,4.9420,11.9765,4.8370,4.4218
3177,103,4.2178,4.8072,4.8169,11.9756,4.8367,4.3028
3240,107,4.2467,4.8133,4.8443,11.9747,4.8370,4.3318
3304,112,4.2696,4.8545,4.8718,11.9756,4.8376,4.3547
3367,116,4.2727,4.8407,4.8596,11.9765,4.8380,4.3516
3430,120,4.2635,4.8468,4.8672,11.9747,4.8386,4.3531
3493,125,4.2666,4.8407,4.8611,11.9765,4.8383,4.3531
3557,129,4.2879,4.8697,4.8794,11.9747,4.8380,4.3745
3620,133,4.2696,4.8453,4.8581,11.9747,4.8373,4.3531
3683,138,4.2986,4.8743,4.8947,11.9756,4.8367,4.3836
3747,142,4.3215,4.9048,4.9283,11.9756,4.8370,4.4050
3810,146,4.2467,4.8255,4.8443,11.9756,4.8376,4.3150
3873,151,4.2757,4.8423,4.8764,11.9747,4.8376,4.3653
3937,155,4.2956,4.8530,4.8855,11.9747,4.8373,4.3745
4000,159,4.2757,4.8530,4.8703,11.9756,4.8373,4.3562
4063,164,4.2742,4.8484,4.8779,11.9739,4.8370,4.3608
4127,168,4.2666,4.8453,4.8672,11.9739,4.8373,4.3562
4190,172,4.2483,4.8285,4.8413,11.9756,4.8380,4.3348
4253,177,3.1313,3.6704,3.5077,11.9791,4.8380,3.1401
4317,181,1.7519,2.1247,2.0306,11.9860,4.8380,1.8064
4380,185,1.0577,1.2854,1.2082,11.9939,4.8383,1.0877
4443,190,0.5587,0.6751,0.6543,12.0034,4.8383,0.5842
4507,194,0.7235,0.8231,0.8572,12.0052,4.8383,0.7780
4570,198,1.0577,1.1863,1.2021,12.0060,4.8370,1.0786
4633,203,2.2494,2.4299,2.6257,12.0008,4.8361,2.3680
4697,207,3.2397,3.5621,3.6175,11.9956,4.8355,3.2484
4760,211,3.4487,3.8703,3.9075,11.9886,4.8346,3.5017
4823,216,3.4991,3.9481,4.0066,11.9869,4.8361,3.5887
4887,220,5.0402,5.5900,5.7675,11.9791,4.8367,5.1603
4950,224,5.3378,6.0233,6.0345,11.9730,4.8376,5.3877
5013,229,4.7991,5.4892,5.4730,11.9721,4.8386,4.8811
5077,233,4.5718,5.2161,5.2289,11.9730,4.8392,4.6568
5140,237,4.4100,5.0330,5.0503,11.9747,4.8392,4.4996
5203,242,4.4237,5.0254,5.0610,11.9739,4.8392,4.5271
5267,246,4.4451,5.0498,5.0839,11.9739,4.8398,4.5408
5330,250,4.4741,5.0773,5.0931,11.9721,4.8395,4.5469
5393,255,4.3780,4.9643,4.9679,11.9713,4.8395,4.4416
5457,3,4.2834,4.8621,4.8779,11.9721,4.8398,4.3592
5521,7,4.2254,4.8072,4.8245,11.9739,4.8395,4.3150
5584,12,4.2574,4.8316,4.8459,11.9721,4.8395,4.3440
5647,16,4.2712,4.8438,4.8733,11.9713,4.8392,4.3516
5710,20,4.2498,4.8224,4.8352,11.9713,4.8392,4.3348
5774,25,4.2147,4.7919,4.8184,11.9713,4.8398,4.3058
5837,29,4.2773,4.8468,4.8764,11.9721,4.8401,4.3638
5900,33,4.3261,4.9018,4.9374,11.9721,4.8404,4.4096
5963,38,4.3429,4.9323,4.9557,11.9713,4.8413,4.4294
6027,42,4.2773,4.8667,4.8688,11.9704,4.8413,4.3577
6090,46,4.2742,4.8514,4.8779,11.9721,4.8407,4.3714
6153,51,4.3352,4.9094,4.9359,11.9713,4.8392,4.4126
6217,55,4.3383,4.9079,4.9435,11.9704,4.8380,4.4218
6280,59,4.3200,4.9003,4.9176,11.9713,4.8364,4.4065
6344,64,4.2467,4.8179,4.8459,11.9721,4.8367,4.3241
6407,68,4.2315,4.8163,4.8337,11.9730,4.8380,4.3196
6470,72,4.2925,4.8743,4.8901,11.9713,4.8383,4.3684
6533,77,4.2559,4.8346,4.8428,11.9721,4.8383,4.3257
6597,81,4.2437,4.8041,4.8367,11.9721,4.8383,4.3287
6660,85,4.2773,4.8560,4.8749,11.9739,4.8389,4.3669
6723,90,4.1888,4.7690,4.7818,11.9730,4.8404,4.2723
6787,94,4.1949,4.7690,4.7986,11.9721,4.8413,4.2860
6850,98,4.2757,4.8499,4.8886,11.9730,4.8419,4.3516
6913,103,4.2651,4.8514,4.8627,11.9739,4.8428,4.3409
6977,107,4.2498,4.8331,4.8504,11.9730,4.8431,4.3379
7040,111,4.2742,4.8484,4.8657,11.9739,4.8431,4.3516
7103,116,4.2971,4.8652,4.8871,11.9730,4.8422,4.3714
