# cec_bench v1.0+9286569  2026-06-13T22:35:07
===BURST_CSV_BEGIN===
# burst: 2048 frames in 130210 us (~15.7 kHz)
us,seq,i1,i2,i3,i4,i5,vrail,vcc,i8
67,81,0.4065,0.4307,0.4852,0.5230,0.4843,11.8738,4.8233,0.4453
131,85,0.4508,0.4582,0.4791,0.5214,0.4827,11.8738,4.8227,0.4377
194,90,0.4630,0.4322,0.4547,0.4985,0.4614,11.8738,4.8224,0.4194
258,94,0.3882,0.4231,0.4669,0.5062,0.4614,11.8721,4.8221,0.4209
321,98,0.4126,0.4948,0.4532,0.4985,0.4705,11.8712,4.8227,0.4240
384,103,0.4645,0.4353,0.4562,0.4940,0.4415,11.8712,4.8224,0.4087
448,107,0.4279,0.5009,0.4379,0.4756,0.4354,11.8712,4.8233,0.3980
511,111,0.4142,0.4475,0.4440,0.4848,0.4476,11.8712,4.8239,0.3980
575,116,0.4264,0.3346,0.4929,0.5504,0.5072,11.8704,4.8233,0.4530
638,120,0.3455,0.3498,0.5264,0.5825,0.5331,11.8695,4.8218,0.5033
702,125,0.3974,0.3926,0.5295,0.5748,0.5361,11.8704,4.8196,0.4911
765,130,0.3806,0.3727,0.5249,0.5672,0.5285,11.8695,4.8184,0.4804
828,134,0.3440,0.4109,0.4974,0.5489,0.5056,11.8686,4.8181,0.4636
892,139,0.4050,0.4200,0.4761,0.5092,0.4705,11.8695,4.8175,0.4316
955,144,0.4416,0.4444,0.4578,0.5016,0.4629,11.8686,4.8187,0.4240
1019,148,0.4462,0.4124,0.4440,0.4909,0.4492,11.8678,4.8196,0.4026
1082,153,0.4096,0.4688,0.4349,0.4818,0.4370,11.8686,4.8203,0.4026
1145,158,0.4264,0.4673,0.4334,0.4802,0.4385,11.8695,4.8215,0.4041
1209,162,0.4264,0.4353,0.4578,0.5046,0.4598,11.8695,4.8221,0.4163
1272,167,0.3119,0.4139,0.5280,0.5748,0.5255,11.8686,4.8206,0.4926
1335,172,0.4203,0.3956,0.4578,0.5077,0.4644,11.8695,4.8199,0.4179
1399,176,0.4584,0.4978,0.4334,0.4848,0.4339,11.8686,4.8212,0.4011
1462,181,0.4340,0.4582,0.4578,0.4970,0.4568,11.8678,4.8218,0.4194
1526,186,0.3638,0.4048,0.4883,0.5245,0.4827,11.8678,4.8212,0.4407
1589,190,0.3943,0.4109,0.4761,0.5321,0.4797,11.8686,4.8206,0.4484
1652,195,0.4691,0.4658,0.4273,0.4634,0.4293,11.8669,4.8215,0.3751
1716,200,0.4660,0.4749,0.3876,0.4345,0.3973,11.8678,4.8236,0.3522
1779,204,0.5530,0.5757,0.3693,0.4177,0.3744,11.8678,4.8260,0.3278
1843,209,0.5133,0.6092,0.3616,0.4161,0.3805,11.8678,4.8288,0.3294
1906,214,0.4599,0.4521,0.4013,0.4467,0.4110,11.8678,4.8297,0.3645
1969,218,0.4630,0.4658,0.4273,0.4650,0.4202,11.8678,4.8300,0.3812
2032,223,0.4584,0.4734,0.4181,0.4604,0.4156,11.8678,4.8300,0.3736
2096,228,0.4935,0.5024,0.3937,0.4360,0.3927,11.8686,4.8306,0.3599
2168,233,0.4370,0.5177,0.4028,0.4406,0.4034,11.8686,4.8318,0.3614
2232,238,0.4340,0.4338,0.4654,0.5153,0.4721,11.8695,4.8306,0.4301
2296,243,0.4187,0.3605,0.5005,0.5443,0.5072,11.8686,4.8291,0.4682
2359,247,0.3547,0.4612,0.4898,0.5352,0.4888,11.8678,4.8273,0.4545
2422,252,0.3821,0.4139,0.4700,0.5123,0.4736,11.8686,4.8260,0.4285
2486,1,0.4493,0.4566,0.4257,0.4741,0.4309,11.8678,4.8264,0.3965
2549,5,0.4752,0.4536,0.4059,0.4436,0.3973,11.8686,4.8276,0.3583
2612,10,0.4935,0.5131,0.4044,0.4528,0.4141,11.8678,4.8288,0.3721
2675,15,0.5088,0.4948,0.4105,0.4558,0.4110,11.8678,4.8291,0.3843
2739,19,0.5027,0.5223,0.4257,0.4680,0.4324,11.8678,4.8300,0.3934
2802,24,0.4248,0.5100,0.4364,0.4818,0.4476,11.8695,4.8291,0.4102
2865,29,0.4569,0.4597,0.4288,0.4772,0.4339,11.8686,4.8294,0.3889
2929,33,0.4691,0.5436,0.4364,0.4665,0.4278,11.8686,4.8297,0.3873
2992,38,0.4386,0.4811,0.4318,0.4756,0.4400,11.8686,4.8297,0.3858
3055,43,0.4615,0.4933,0.3983,0.4543,0.4110,11.8686,4.8300,0.3721
3119,47,0.5362,0.5604,0.3738,0.4207,0.3820,11.8686,4.8312,0.3416
3182,52,0.5500,0.5390,0.3540,0.3887,0.3561,11.8686,4.8334,0.3141
3245,57,0.5912,0.5589,0.3601,0.4146,0.3683,11.8695,4.8346,0.3248
3308,61,0.4920,0.5314,0.3937,0.4283,0.3973,11.8695,4.8352,0.3492
3372,66,0.5088,0.5436,0.4013,0.4528,0.4034,11.8695,4.8358,0.3568
