I (11466) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.110 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4900 | P=-0.0W T=28.3C | PS_ON=0 PWR_OK=0
I (12466) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.109 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4900 | P=-0.0W T=28.3C | PS_ON=0 PWR_OK=0
I (13466) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.110 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4899 | P=-0.0W T=28.3C | PS_ON=0 PWR_OK=0
I (14466) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.107 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4899 | P=-0.0W T=28.3C | PS_ON=0 PWR_OK=0
I (15466) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.109 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4901 | P=-0.0W T=28.3C | PS_ON=0 PWR_OK=0
I (16466) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.108 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4900 | P=-0.0W T=28.3C | PS_ON=0 PWR_OK=0
I (17466) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.110 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4898 | P=-0.0W T=28.3C | PS_ON=0 PWR_OK=0
I (18466) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.108 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4901 | P=-0.0W T=28.3C | PS_ON=0 PWR_OK=0
I (19466) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.001 5SB=4.111 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4898 | P=-0.0W T=28.3C | PS_ON=0 PWR_OK=0
I (20466) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.109 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4900 | P=-0.0W T=28.3C | PS_ON=0 PWR_OK=0
I (21466) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.001 5SB=4.112 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4896 | P=-0.0W T=28.3C | PS_ON=0 PWR_OK=0
I (22466) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.001 5SB=4.110 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4897 | P=-0.0W T=28.3C | PS_ON=0 PWR_OK=0
I (23466) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.112 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4901 | P=-0.0W T=28.3C | PS_ON=0 PWR_OK=0
I (24466) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.110 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4900 | P=-0.0W T=28.3C | PS_ON=0 PWR_OK=0
