Reference,Qty,Value,Footprint,MPN,Manufacturer,LCSC,LC_Stock,Chosen_Distributor,Datasheet,Validated,DNP,Notes
C1,1,4700uF,CP_Elec_16x17.5,VKMI2101C472MV,Samxon,C487318,,,,,,
"C2,C3,C10,C9",4,1uF,0603,CL10A105KB8NNNC,Samsung,C15849,,,,,,
"C5,C4,C8,C6,C14,C15",6,100nF,0402,CL05B104KO5NNNC,Samsung,C1525,,,,,,
C7,1,4n7,0402,0402B472K500NT,Fenghua,C1538,,,,,,
C11,1,10uF,0603,CL10A106MA8NRNC,Samsung,C96446,,,,,,
C12,1,10nF,0402,CL05B103KB5NNNC,Samsung,C15195,,,,,,
C13,1,100nF,0603,CC0603KRX7R9BB104,YAGEO,C14663,,,,,,
"C_SS1,C_SS2",2,2.2uF,0603,CL10A225KO8NNNC,Samsung,C23630,,,,,,
C_bulk1,1,470uF,CP_Elec_6.3x7.7,RVT1A471M0607,Lelon,C335982,,,,,,
D1,1,SS14,SMA,SS14,MDD,C2480,,,http://www.diodes.com/_files/datasheets/ds23022.pdf,,,
"D2,D5,D3,D4",4,PESD5V0S1BA,SOD-323,PESD5V0S1BA,Nexperia,C5261083,,,,,,
D6,1,USBLC6-2SC6,SOT-23-6,USBLC6-2SC6,UMW,C2687116,,,,,,
"DL1,DL2,DL7,DL6,DL5,DL4,DL3",7,SK6812MINI-E,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,SK6812MINI-E,Opsco,C5149201,,,,,,
J1,1,5VSB_IN,JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,S2B-XH-A(LF)(SN),JST,C157931,,,,,,
J2,1,PORT1,RJ45_FTP_Shielded_Horizontal,KH-RJ45-58-8P8C,Kinghelm,C2683360,,,,,,
J3,1,PORT2,RJ45_FTP_Shielded_Horizontal,KH-RJ45-58-8P8C,Kinghelm,C2683360,,,,,,
J4,1,PORT3,RJ45_FTP_Shielded_Horizontal,KH-RJ45-58-8P8C,Kinghelm,C2683360,,,,,,
J5,1,PORT4,RJ45_FTP_Shielded_Horizontal,KH-RJ45-58-8P8C,Kinghelm,C2683360,,,,,,
J6,1,USB-C,USB_C_Receptacle_XKB_U262-16XN-4BVC11,U262-16XN-4BVC11,XKB,C2765186,,,,,,
J8,1,MAIN_5V_IN,JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,S2B-XH-A(LF)(SN),JST,C157931,,,,,,
"R4,R3",2,60.4,0402,GR0402F60R4TAG00,Viking,C49654185,,,,,,
"R8,R5,R2,R6,R7,R11,R16,R18",8,10kΩ,0402,0402WGF1002TCE,UNI-ROYAL,C25744,,,,,,
"R9,R10",2,5.1kΩ,0402,0402WGF5101TCE,UNI-ROYAL,C25905,,,,,,
"R12,R15,R17",3,47kΩ,0402,0402WGF4702TCE,UNI-ROYAL,C25792,,,,,,
R14,1,330Ω,0402,0402WGF3300TCE,UNI-ROYAL,C25104,,,,,,
"R_ILIM1,R13,R_ILIM2",3,27kΩ,0402,0402WGF2702TCE,UNI-ROYAL,C25771,,,,,,
SW1,1,SW_RST,TS-1088-AR02016,TS-1088-AR02016,XKB,C720477,,,,,,
SW2,1,SW_BOOT,TS-1088-AR02016,TS-1088-AR02016,XKB,C720477,,,,,,
U1,1,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1-N16R8,Espressif,C2913202,,,https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf,,,
U2,1,TJA1051T/3,SOIC-8_3.9x4.9mm_P1.27mm,TJA1051T/3,NXP,C38695,,,,,,
U3,1,LP5907MFX-3.3,SOT-23-5,LP5907MFX-3.3/NOPB,Texas Instruments,C80670,,,,,,
U4,1,TPS3839K33,SOT-23,TPS3839K33DBZR,Texas Instruments,C96333,,,,,,
"U5,U7",2,TPS2121RUXR,RUX0012A,TPS2121RUXR,Texas Instruments,C485916,,,https://www.ti.com/lit/gpn/tps2121,,,
U6,1,SN74AHCT1G08,SOT-23-5,SN74AHCT1G08DBVR,Texas Instruments,C113521,,,,,,
