assembly,manufacturer,mpn,lcsc_jlc_code,jlc_library,assembly_mode,quantity_per_assembly,electrical_allocation,ecad_symbol,ecad_footprint,status_or_gate
ATX 24-pin main,XFCN,T34069,C481452,Extended,manualWeld / Wave Soldering,4,"one each: +12V,+5V,+3V3,+5VSB",cec-Connector_Screw:XFCN_T34069,cec-Connector_Screw:XFCN_T34069_THT_M3_40A,"Prototype; incoming sample and electrical qualification required"
ATX 24-pin main,XFCN,TTR32100127-0600,C45384691,Extended,manualWeld / Wave Soldering,2,"two parallel GND joints",cec-Connector_Screw:XFCN_TTR32100127-0600,cec-Connector_Screw:XFCN_TTR32100127-0600_THT_M3_60A,"Prototype; symmetric current-sharing qualification required"
ATX 24-pin daughterboard,CEC fabricated land,not applicable,not applicable,not applicable,PCB feature,4,"one each: +12V,+5V,+3V3,+5VSB",cec-Connector_Screw:XFCN_T34069_DB_BoltPad,cec-Connector_Screw:XFCN_T34069_Daughterboard_BoltPad_M3_PROVISIONAL,"Non-BOM land; sample-release required; 3.4 mm plated M3 clearance"
ATX 24-pin daughterboard,CEC fabricated land,not applicable,not applicable,not applicable,PCB feature,2,"two parallel GND joints",cec-Connector_Screw:XFCN_TTR32100127-0600_DB_BoltPad,cec-Connector_Screw:XFCN_TTR32100127-0600_Daughterboard_BoltPad_M3_PROVISIONAL,"Non-BOM land; sample-release required; 3.4 mm M3 clearance"
ATX 24-pin daughterboard,Samtec,TSW-102-16-G-D-RA,not assigned,consigned,THT,1,"1=-12V; 2=PS_ON#; 3=PWR_OK; 4=GND",cec:CEC_CONN_1x4,cec-Connector_PinHeader_2.54mm:Samtec_TSW-102-16-G-D-RA_2x02_P2.54mm_Horizontal,"Exact 2x2 male; 8.13 mm mating length; first-article mated-transform and engagement required"
ATX 24-pin main,Samtec,SSQ-102-03-G-D,not assigned,consigned,THT,1,"1=-12V; 2=PS_ON#; 3=PWR_OK; 4=GND",cec:CEC_CONN_1x4,cec-Connector_PinSocket_2.54mm:Samtec_SSQ-102-03-G-D_2x02_P2.54mm_Vertical,"Exact 2x2 female; odd/even-by-column numbering; first-article mated-transform and engagement required"
EPS 2-cable main,XFCN,T34069,C481452,Extended,manualWeld / Wave Soldering,8,"per cable: two post-shunt +12V and two GND",cec-Connector_Screw:XFCN_T34069,cec-Connector_Screw:XFCN_T34069_THT_M3_40A,"Prototype; symmetric current-sharing qualification required"
EPS per-cable daughterboard,CEC fabricated land,not applicable,not applicable,not applicable,PCB feature,4,"two +12V and two GND",cec-Connector_Screw:XFCN_T34069_DB_BoltPad,cec-Connector_Screw:XFCN_T34069_Daughterboard_BoltPad_M3_PROVISIONAL,"Non-BOM land; sample-release required; 3.4 mm plated M3 clearance"
PCIe 2-port main,XFCN,TTR32100127-0600,C45384691,Extended,manualWeld / Wave Soldering,4,"per cable: one post-shunt +12V and one GND",cec-Connector_Screw:XFCN_TTR32100127-0600,cec-Connector_Screw:XFCN_TTR32100127-0600_THT_M3_60A,"Prototype; incoming sample and 48.75 A qualification required"
PCIe 3-port main,XFCN,TTR32100127-0600,C45384691,Extended,manualWeld / Wave Soldering,6,"per cable: one post-shunt +12V and one GND",cec-Connector_Screw:XFCN_TTR32100127-0600,cec-Connector_Screw:XFCN_TTR32100127-0600_THT_M3_60A,"Prototype; incoming sample and 48.75 A qualification required"
PCIe per-cable daughterboard,CEC fabricated land,not applicable,not applicable,not applicable,PCB feature,2,"one +12V and one GND",cec-Connector_Screw:XFCN_TTR32100127-0600_DB_BoltPad,cec-Connector_Screw:XFCN_TTR32100127-0600_Daughterboard_BoltPad_M3_PROVISIONAL,"Non-BOM land; sample-release required; 3.4 mm M3 clearance"
ATX/EPS T34069 and ATX/PCIe TTR hardware,TBD traceable supplier,"M3 x 0.5 screw plus pressure washer/locking stack",not assigned,not applicable,manual final assembly,"one stack per terminal","mechanical clamp and current joint",not applicable,not applicable,"T34069 includes a screw/pressure washer in catalog photography; inventory and qualify it. Select any separate/replacement hardware only after thread-depth/engagement and washer-contact measurement; M3 x 6 mm is only an initial TTR coupon trial"
