# MPFS FCVG484 ball map — cached pin/ball assignment table for the PolarFire SoC
# 484-ball FCVG484 package (19x19mm, 0.8mm pitch, 22x22 grid), used by
# scripts/gen_mpfs_fcvg484_lib.py to generate lib/cec-ent-compute.kicad_sym +
# lib/cec-ent-compute.pretty/BGA-484_19x19mm_P0.8mm_MPFS_FCVG484.kicad_mod.
#
# PROVENANCE (2026-07-02):
# Primary per-ball table: extracted from the antmicro/polarfire-som open-hardware
# project (Apache-2.0), file fpga-mssio.kicad_sch, lib_symbols entry
# "MPFS250T-FCVG484E" (a real, taped-out board design; fetched via
# https://raw.githubusercontent.com/antmicro/polarfire-som/main/fpga-mssio.kicad_sch,
# 2026-07-02). That symbol carries the full 484-ball assignment for the FCVG484
# package as 9 KiCad symbol units (8 signal/JTAG banks + 1 power unit); parsed
# programmatically (paren-balanced s-expression walk, not regex-only) to
# designator/name/unit triples. Result: exactly 484 unique ball designators, a
# full 22 (cols 1-22) x 22 (rows A..AB, skipping I/O/Q/S/Z per JEDEC) grid, zero
# duplicates or gaps — internally self-consistent.
#
# Cross-check (bank floorplan / functional grouping and package geometry):
# Microchip "PolarFire SoC FPGA Packaging and Pin Descriptions User Guide"
# (DS60001692E, fetched 2026-07-02 via
# https://ww1.microchip.com/downloads/aemDocuments/documents/FPGA/ProductDocuments/UserGuides/microchip_polarfire_soc_fpga_packaging_and_pin_descriptions_user_guide_vb.pdf):
#   - Section 1.1 Figure 1-5 "PolarFire SoC FPGA MPFS250T-MPFS160T-MPFS095T-
#     MPFS025T-FCVG484 I/O Bank Locations" gives the SAME bank floorplan as the
#     antmicro symbol's units (Bank-0 HSIO, Bank-1 GPIO x2 corners, Bank-2/4
#     MSSIO, Bank-3 JTAG/DEDIO, Bank-5 MSS-SGMII, Bank-6 MSS-DDR, XCVR0) for
#     this EXACT part list (025T/095T/160T/250T all share this package+ball
#     map — "devices in the same package type are pin compatible" per
#     Microchip's PolarFire SoC Product Overview DS60001656A Table 2-1), which
#     is why an MPFS250T-sourced ball map is valid for our target MPFS095TC/TS.
#   - Table 1-10 gives FCVG484 = 19mm x 19mm body, 0.8mm pitch (matches the
#     antmicro footprint name "BGA-484_19x19mm_Layout22x22_P0.8mm_FCVG484").
#   - Section 7 "Recommended PCB Design Rules for BGA Packages" Table 7-1:
#     FCVG package ball pad diameter 0.4mm, solder mask opening 0.5mm (NSMD).
#   - Figure 1-17 "...FCVG484 Package Bottom-View" (rasterized + inspected
#     visually, since it is a vector drawing with no extractable text layer):
#     confirms columns numbered 1..22 increasing RIGHT-TO-LEFT and rows A..AB
#     top-to-bottom, AS SEEN FROM THE BOTTOM (solder side), ball pitch 0.80mm,
#     edge margin 1.10mm both axes (consistent with (19 - 21*0.8)/2 = 1.10mm),
#     "A1 BALLPAD CORNER" at the top-right in bottom view. Mirrored left-right
#     for the TOP VIEW (footprint/silkscreen convention, part placed dot-up):
#     A1 lands at TOP-LEFT, columns 1..22 increasing LEFT-TO-RIGHT, rows A..AB
#     top-to-bottom — the standard JEDEC top-view BGA convention.
#
# NOT resolved from any source (flagged, not guessed — see the generator
# script's own header and the intake return note): whether any of the 484
# balls are physically NC/no-ball on the smaller-die 095T vs the 250T this
# table was sourced from (Microchip states pin/package COMPATIBILITY across
# the family in this package, not that every signal-bank ball is bonded out on
# every density — e.g. XCVR lane counts and DDR interface widths can differ by
# die size). The SerDes/XCVR unit is annotated NC per the platform's part-
# agnostic SerDes-free land decision regardless, which sidesteps the 095T-vs-
# 250T XCVR question for this build; MSS-DDR/GPIO/MSSIO bank differences (if
# any) between 095T and 250T were NOT independently verified against a 095T-
# specific ball table (none could be downloaded — Microchip's own per-device
# Package Pin Assignment Table (PPAT) .xlsx files are Akamai-blocked to
# scripted fetches in this environment; every attempt returned "Access
# Denied").
#
# columns: designator (ball ID, e.g. "A1".."AB22"), name (signal/net name as
# captured, "/" separates alternate/muxed functions), category (the unit this
# ball is grouped into in the generated symbol), category_label (human-
# readable bank description), stacked_dup (True if this ball shares its net
# name with an already-emitted ball in the same category and so is emitted as
# a hidden stacked pin in the symbol — used only for POWER/GND balls).
designator,name,category,category_label,stacked_dup
A10,GPIO177PB1/CCC_SW_PLL0_OUT0,GPIO_BANK1,Fabric GPIO bank 1,False
A11,GPIO177NB1,GPIO_BANK1,Fabric GPIO bank 1,False
A12,GPIO1NB1,GPIO_BANK1,Fabric GPIO bank 1,False
A13,GPIO1PB1/CLKIN_S_5,GPIO_BANK1,Fabric GPIO bank 1,False
A15,GPIO5PB1/CLKIN_S_7,GPIO_BANK1,Fabric GPIO bank 1,False
A16,GPIO13PB1,GPIO_BANK1,Fabric GPIO bank 1,False
A17,GPIO13NB1,GPIO_BANK1,Fabric GPIO bank 1,False
A18,GPIO17PB1/CCC_SE_CLKIN_S_11,GPIO_BANK1,Fabric GPIO bank 1,False
A20,GPIO20PB9/DQS,GPIO_BANK1,Fabric GPIO bank 1,False
A21,GPIO20NB9/DQS,GPIO_BANK1,Fabric GPIO bank 1,False
A5,GPIO172NB1,GPIO_BANK1,Fabric GPIO bank 1,False
A6,GPIO172PB1/CCC_SW_PLL1_OUT1,GPIO_BANK1,Fabric GPIO bank 1,False
A7,GPIO173PB1/CLKIN_S_3/CCC_SW_CLKIN_S_3,GPIO_BANK1,Fabric GPIO bank 1,False
A8,GPIO175PB1,GPIO_BANK1,Fabric GPIO bank 1,False
B10,GPIO179PB1,GPIO_BANK1,Fabric GPIO bank 1,False
B12,GPIO0PB1/CLKIN_S_4,GPIO_BANK1,Fabric GPIO bank 1,False
B13,GPIO3PB1/CLKIN_S_6,GPIO_BANK1,Fabric GPIO bank 1,False
B14,GPIO3NB1,GPIO_BANK1,Fabric GPIO bank 1,False
B15,GPIO5NB1,GPIO_BANK1,Fabric GPIO bank 1,False
B17,GPIO15PB1/CCC_SE_CLKIN_S_10/CCC_SE_PLL1_OUT0,GPIO_BANK1,Fabric GPIO bank 1,False
B18,GPIO17NB1,GPIO_BANK1,Fabric GPIO bank 1,False
B19,GPIO19NB9,GPIO_BANK1,Fabric GPIO bank 1,False
B20,GPIO19PB9,GPIO_BANK1,Fabric GPIO bank 1,False
B21,GPIO22PB9,GPIO_BANK1,Fabric GPIO bank 1,False
B22,GPIO22NB9,GPIO_BANK1,Fabric GPIO bank 1,False
B4,GPIO169NB1,GPIO_BANK1,Fabric GPIO bank 1,False
B5,GPIO170NB1/DQS,GPIO_BANK1,Fabric GPIO bank 1,False
B7,GPIO173NB1,GPIO_BANK1,Fabric GPIO bank 1,False
B8,GPIO175NB1,GPIO_BANK1,Fabric GPIO bank 1,False
B9,GPIO179NB1,GPIO_BANK1,Fabric GPIO bank 1,False
C10,GPIO176PB1/DQS/CCC_SW_PLL0_OUT0,GPIO_BANK1,Fabric GPIO bank 1,False
C11,GPIO178PB1/CCC_SW_PLL0_OUT1,GPIO_BANK1,Fabric GPIO bank 1,False
C12,GPIO0NB1,GPIO_BANK1,Fabric GPIO bank 1,False
C14,GPIO4PB1/LPRB_A,GPIO_BANK1,Fabric GPIO bank 1,False
C15,GPIO4NB1/LPRB_B,GPIO_BANK1,Fabric GPIO bank 1,False
C16,GPIO12PB1,GPIO_BANK1,Fabric GPIO bank 1,False
C17,GPIO15NB1,GPIO_BANK1,Fabric GPIO bank 1,False
C19,GPIO18PB9,GPIO_BANK1,Fabric GPIO bank 1,False
C20,GPIO18NB9,GPIO_BANK1,Fabric GPIO bank 1,False
C22,GPIO23PB9,GPIO_BANK1,Fabric GPIO bank 1,False
C4,GPIO169PB1/CCC_SW_CLKIN_S_1,GPIO_BANK1,Fabric GPIO bank 1,False
C5,GPIO170PB1/DQS/CCC_SW_PLL1_OUT0,GPIO_BANK1,Fabric GPIO bank 1,False
C6,GPIO171PB1/CLKIN_S_2/CCC_SW_CLKIN_S_2/CCC_SW_PLL1_OUT0,GPIO_BANK1,Fabric GPIO bank 1,False
C7,GPIO171NB1,GPIO_BANK1,Fabric GPIO bank 1,False
C9,GPIO176NB1/DQS,GPIO_BANK1,Fabric GPIO bank 1,False
D11,GPIO178NB1,GPIO_BANK1,Fabric GPIO bank 1,False
D12,GPIO183PB1,GPIO_BANK1,Fabric GPIO bank 1,False
D13,GPIO2PB1/DQS,GPIO_BANK1,Fabric GPIO bank 1,False
D14,GPIO2NB1/DQS,GPIO_BANK1,Fabric GPIO bank 1,False
D16,GPIO10NB1,GPIO_BANK1,Fabric GPIO bank 1,False
D17,GPIO12NB1,GPIO_BANK1,Fabric GPIO bank 1,False
D18,GPIO16PB1/CCC_SE_PLL1_OUT1,GPIO_BANK1,Fabric GPIO bank 1,False
D19,GPIO14NB1/DQS,GPIO_BANK1,Fabric GPIO bank 1,False
D20,GPIO21NB9,GPIO_BANK1,Fabric GPIO bank 1,False
D21,GPIO21PB9,GPIO_BANK1,Fabric GPIO bank 1,False
D22,GPIO23NB9,GPIO_BANK1,Fabric GPIO bank 1,False
D6,GPIO168NB1,GPIO_BANK1,Fabric GPIO bank 1,False
D7,GPIO168PB1/CCC_SW_CLKIN_S_0,GPIO_BANK1,Fabric GPIO bank 1,False
D8,GPIO174NB1,GPIO_BANK1,Fabric GPIO bank 1,False
D9,GPIO174PB1,GPIO_BANK1,Fabric GPIO bank 1,False
E10,GPIO180PB1,GPIO_BANK1,Fabric GPIO bank 1,False
E11,GPIO183NB1,GPIO_BANK1,Fabric GPIO bank 1,False
E13,GPIO184PB1,GPIO_BANK1,Fabric GPIO bank 1,False
E14,GPIO9NB1,GPIO_BANK1,Fabric GPIO bank 1,False
E15,GPIO9PB1/CLKIN_S_8/CCC_SE_CLKIN_S_8/CCC_SE_PLL0_OUT0,GPIO_BANK1,Fabric GPIO bank 1,False
E16,GPIO10PB1/CCC_SE_PLL0_OUT1,GPIO_BANK1,Fabric GPIO bank 1,False
E18,GPIO16NB1,GPIO_BANK1,Fabric GPIO bank 1,False
E19,GPIO14PB1/DQS/CCC_SE_PLL1_OUT0,GPIO_BANK1,Fabric GPIO bank 1,False
F10,GPIO180NB1,GPIO_BANK1,Fabric GPIO bank 1,False
F11,GPIO181NB1,GPIO_BANK1,Fabric GPIO bank 1,False
F12,GPIO181PB1,GPIO_BANK1,Fabric GPIO bank 1,False
F13,GPIO184NB1,GPIO_BANK1,Fabric GPIO bank 1,False
F15,GPIO6PB1,GPIO_BANK1,Fabric GPIO bank 1,False
F16,GPIO11NB1,GPIO_BANK1,Fabric GPIO bank 1,False
F17,GPIO11PB1/CLKIN_S_9/CCC_SE_CLKIN_S_9,GPIO_BANK1,Fabric GPIO bank 1,False
G12,GPIO182NB1/DQS,GPIO_BANK1,Fabric GPIO bank 1,False
G13,GPIO185PB1,GPIO_BANK1,Fabric GPIO bank 1,False
G14,GPIO6NB1,GPIO_BANK1,Fabric GPIO bank 1,False
