"Comment","Designator","Footprint","LCSC"
"100uF","C1","cec-Capacitor_SMD:C_1210_3225Metric","C49066"
"1nF","C2","cec-Capacitor_SMD:C_0402_1005Metric","C76947"
"100nF","C3-C5,C11,C39","cec-Capacitor_SMD:C_0402_1005Metric","C1525"
"10uF","C6,C10","cec-Capacitor_SMD:C_0805_2012Metric","C15850"
"1uF","C7-C9","cec-Capacitor_SMD:C_0603_1608Metric","C29936"
"PESD5V0S1BA","D1,D5,D15-D22","cec-Diode_SMD:D_SOD-323","C5261083"
"SS34","D2-D4","cec-Diode_SMD:D_SMA","C8678"
"USBLC6-2SC6","D6","cec-Package_TO_SOT_SMD:SOT-23-6","C2687116"
"BAT54S","D7-D14","cec-Package_TO_SOT_SMD:SOT-23-3_L2.9-W1.3-P1.90-LS2.4-TL","C545549"
"SK6812MINI","DL1","cec-LED_SMD:LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm","C5149201"
"2920L700/12MR","F1","cec-Fuse_SMD:F2920","C207092"
"0R","FB1","cec-Capacitor_SMD:C_0805_2012Metric","C17477"
"600R@100MHz FB (MPZ2012S601AT000)","FB2","cec-Capacitor_SMD:C_0805_2012Metric","C21519"
"CAN CMC position (ACT45B-510-2P-TL003), DNP","FL1","cec-Common_Mode_Choke:CMC_SMD4P_L4.5xW3.2mm","C76584"
"TO-HUB","J2","cec:RJ45_FTP_Shielded_Horizontal","C2683360"
"USB-C 2.0","J3","cec-Connector_USB:USB_C_Receptacle_XKB_U262-16XN-4BVC11","C319148"
"ARGB_5V_HDR","J4-J11","cec-Connector_PinHeader_2.54mm:HDR-TH_4P-P2.54-V-M","C124378"
"AO4407A","Q1","cec-Package_SO:SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL","C16072"
"10kΩ","R1,R3,R8,R9","cec-Resistor_SMD:R_0402_1005Metric","C25744"
"47kΩ","R2","cec-Resistor_SMD:R_0402_1005Metric","C25792"
"2.2kΩ","R4","cec-Resistor_SMD:R_0402_1005Metric","C25879"
"100kΩ","R5","cec-Resistor_SMD:R_0402_1005Metric","C25741"
"0Ω","R6,R7","cec-Resistor_SMD:R_0402_1005Metric","C17168"
"330Ω","R10-R17,R20","cec-Resistor_SMD:R_0402_1005Metric","C25104"
"5.1kΩ","R18,R19","cec-Resistor_SMD:R_0402_1005Metric","C25905"
"5mOhm","RS1","cec-Resistor_SMD:R_2512_6332Metric","C5375417"
"MF72-5D-20","RT1","cec-Thermistor_THT:RES-TH_L22.0-W7.0-P10.00-D1.0-S2.00","C122780"
"BOOT","SW1","cec-Button_Switch_SMD:TS-1088-AR02016","C720477"
"RESET","SW2","cec-Button_Switch_SMD:TS-1088-AR02016","C720477"
"ESP32-S3-MINI-1-N4R2","U1","cec-RF_Module:ESP32-S2-MINI-1_NoAntKeepout","C3013941"
"TJA1051T/3","U2","cec-Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C38695"
"LP5907MFX-3.3","U3","cec-Package_TO_SOT_SMD:SOT-23-5","C80670"
"INA180A2","U4","cec-Package_TO_SOT_SMD:SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL","C192764"
"SN74AHCT244PW","U5","cec-Package_SO:TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL","C135583"
"SN74AHCT1G08","U6","cec-Package_TO_SOT_SMD:SOT-23-5","C113521"
