Reference,Qty,Value,Footprint,MPN,Manufacturer,LCSC,DNP,Notes
"C1,C2",2,1uF,C_0603_1608Metric,CL10B105KO8NNNC,Samsung,C15849,,
"C3,C4,C5,C8,C10,C11",6,100nF,C_0402_1005Metric,CL05B104KO5NNNC,Samsung,C1525,,
"C6,C7,C9",3,10uF,C_0805_2012Metric,CL21A106KAYNNNE,Samsung,C15850,,
D1,1,PESD5V0S1BA,D_SOD-323,PESD5V0S1BA,Nexperia,C5261083,,
D2,1,SS34,D_SMA,SS34,MDD,C8678,,
J1,1,TO-HUB,RJ45_Amphenol_54602-x08_Horizontal,54602-908LF,Amphenol,C2847314,,
J5,1,USB-C 2.0,USB_C_Receptacle_XKB_U262-16XN-4BVC11,U262-16XN-4BVC11,XKB,C2765186,,
J_IN1,1,C1 PSU,Molex_Mini-Fit_Jr_5569-08A2_2x04_P4.20mm_Horizontal,,,,,THT power connector — hand-solder/consign
J_IN2,1,C2 PSU,Molex_Mini-Fit_Jr_5569-08A2_2x04_P4.20mm_Horizontal,,,,,THT power connector — hand-solder/consign
J_OUT1,1,C1 LOAD,Molex_Mini-Fit_Jr_5569-08A2_2x04_P4.20mm_Horizontal,,,,,THT power connector — hand-solder/consign
J_OUT2,1,C2 LOAD,Molex_Mini-Fit_Jr_5569-08A2_2x04_P4.20mm_Horizontal,,,,,THT power connector — hand-solder/consign
"R1,R3,R4",3,2.2kΩ,R_0402_1005Metric,0402WGF2201TCE,UNI-ROYAL,C25879,,
R2,1,10kΩ,R_0402_1005Metric,0402WGF1002TCE,UNI-ROYAL,C25744,,
R7,1,100kΩ,R_0402_1005Metric,0402WGF1003TCE,UNI-ROYAL,C25741,,
"R8,R9",2,5.1kΩ,R_0402_1005Metric,0402WGF5101TCE,UNI-ROYAL,C25905,,
"RS1,RS2",2,0.5mΩ,R_2512_6332Metric,,,,,OQ-11 shunt — pick 0.5mΩ 2512 part
SW1,1,BOOT,TS-1088-AR02016,TS-1088-AR02016,XKB,C720477,,
SW2,1,RESET,TS-1088-AR02016,TS-1088-AR02016,XKB,C720477,,
U1,1,ESP32-S3-MINI-1-N4R2,ESP32-S2-MINI-1_NoAntKeepout,ESP32-S3-MINI-1-N4R2,Espressif Systems,C3013941,,
U2,1,TJA1051T/3,SOIC-8_3.9x4.9mm_P1.27mm,TJA1051T/3,NXP,C38695,,
U3,1,LP5907MFX-3.3,SOT-23-5,LP5907MFX-3.3,Texas Instruments,C80670,,
"U10,U11",2,INA238,VSSOP-10_3x3mm_P0.5mm,INA238AIDGSR,Texas Instruments,C2868250,,
