"Reference","Value","Footprint","LCSC","MPN","Manufacturer"
"J1","ATX24 OUT FIELD","cec-Connector_Generic:ATX24_Daughterboard_Field_P4.20mm","","","CEC (in-house)"
"J10","TE 63951-1","cec-Connector_Blade:TE_63951-1_FASTON_Tab_250x032_RA_THT","C591344","63951-1","TE Connectivity"
"J11","TE 63951-1","cec-Connector_Blade:TE_63951-1_FASTON_Tab_250x032_RA_THT","C591344","63951-1","TE Connectivity"
"J12","TE 63951-1","cec-Connector_Blade:TE_63951-1_FASTON_Tab_250x032_RA_THT","C591344","63951-1","TE Connectivity"
"J13","TE 63951-1","cec-Connector_Blade:TE_63951-1_FASTON_Tab_250x032_RA_THT","C591344","63951-1","TE Connectivity"
"J14","TE 63951-1","cec-Connector_Blade:TE_63951-1_FASTON_Tab_250x032_RA_THT","C591344","63951-1","TE Connectivity"
"J15","TE 63951-1","cec-Connector_Blade:TE_63951-1_FASTON_Tab_250x032_RA_THT","C591344","63951-1","TE Connectivity"
"J16","TE 63951-1","cec-Connector_Blade:TE_63951-1_FASTON_Tab_250x032_RA_THT","C591344","63951-1","TE Connectivity"
"J17","TE 63951-1","cec-Connector_Blade:TE_63951-1_FASTON_Tab_250x032_RA_THT","C591344","63951-1","TE Connectivity"
"J18","TE 63951-1","cec-Connector_Blade:TE_63951-1_FASTON_Tab_250x032_RA_THT","C591344","63951-1","TE Connectivity"
"J20","SIGNAL STUB (1x4 blind-mate)","cec-Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal_LongPin","","","generic"
