Comment,Designator,Footprint,LCSC Part #
1uF,"C1,C2",C_0603_1608Metric,C15849
100nF,"C3,C4,C5,C8,C10,C11,C12,C20,C21,C22,C30,C31,C32,C40",C_0402_1005Metric,C1525
10uF,"C6,C7,C9",C_0805_2012Metric,C15850
PESD5V0S1BA,D1,D_SOD-323,C5261083
SS34,D2,D_SMA,C8678
TO-HUB,J1,RJ45_FTP_Shielded_Horizontal,C2683360
USB-C 2.0,J5,USB_C_Receptacle_XKB_U262-16XN-4BVC11,C2765186
C1 PSU,J_IN1,Molex_Mini-Fit_Jr_45586_2x04_P4.20mm_Horizontal,
C2 PSU,J_IN2,Molex_Mini-Fit_Jr_45586_2x04_P4.20mm_Horizontal,
C3 PSU,J_IN3,Molex_Mini-Fit_Jr_45586_2x04_P4.20mm_Horizontal,
C1 LOAD,J_OUT1,Molex_Mini-Fit_Jr_45586_2x04_P4.20mm_Horizontal,
C2 LOAD,J_OUT2,Molex_Mini-Fit_Jr_45586_2x04_P4.20mm_Horizontal,
C3 LOAD,J_OUT3,Molex_Mini-Fit_Jr_45586_2x04_P4.20mm_Horizontal,
2.2kΩ,"R1,R3,R4",R_0402_1005Metric,C25879
10kΩ,"R2,R10",R_0402_1005Metric,C25744
100kΩ,R7,R_0402_1005Metric,C25741
5.1kΩ,"R8,R9",R_0402_1005Metric,C25905
0.5mΩ CSS2H-2512R-L500F (Bourns; DigiKey std reel -- JLC mini-reel C1848841 thin/0),"RS1,RS2,RS3",R_2512_6332Metric,
BOOT,SW1,TS-1088-AR02016,C720477
RESET,SW2,TS-1088-AR02016,C720477
ESP32-C6-MINI-1-N4,U1,ESP32-C6-MINI-1,C5736265
TJA1051T/3,U2,SOIC-8_3.9x4.9mm_P1.27mm,C38695
LP5907MFX-3.3,U3,SOT-23-5,C80670
INA238,"U10,U11,U12",VSSOP-10_3x3mm_P0.5mm,C2868250
INA181A2IDBVR,"U20,U21,U22",SOT-23-6,C2058784
TLV7011DBVR,"U30,U31,U32",SOT-23-5,C702117
